"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc.x" "sample_volconc.y" "biomass_ug" "Actinopterygii" "Amphipoda" "Anguilliformes" "Annelida" "Appendicularia" "Bryozoa" "Calanoida" "calyptopsis<Euphausiacea" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria<Metazoa" "Corycaeidae" "darksphere" "Decapoda" "egg<other" "Eucalanidae" "Euphausiacea" "Gastropoda" "gelatinous" "Harosa" "Harpacticoida" "Limacina" "Luciferidae" "Macrosetella" "multiple<other" "Myctophidae" "nauplii<Copepoda" "Oithonidae" "Ostracoda" "part<Crustacea" "Sapphirina" "Siphonophorae" "Thaliacea" "Thecosomata" "Unknowns" "zoea<Decapoda"
"25" "2019_pos536_bongo6l_lrg" 2019-08-23 "04:29" 33.1498333333333 -39.9985 0 300 288527.5 288527.5 1016 1.73293706839036e-05 2.07952448206843e-05 0 6.93174827356145e-06 0 0 0.00137248615816517 2.07952448206843e-05 0 0.000485222379149301 4.50563637781494e-05 0 4.15904896413687e-05 6.93174827356145e-06 0 2.42611189574651e-05 0 0.000214884196480405 0 8.31809792827374e-05 0 3.46587413678072e-06 3.46587413678072e-06 0 0 0.000471358882602178 0 0 0 0.000128237343060887 9.01127275562988e-05 5.19881120517108e-05 3.8124615504588e-05 0.000374314406772318 1.38634965471229e-05 6.93174827356145e-06 0
"26" "2019_pos536_bongo7l_lrg" 2019-08-24 "23:56" 34.6276666666667 -39.381 0 10 131309.1 131309.1 529 0.000258931026105578 6.09249473189596e-05 7.61561841486995e-06 0 7.61561841486995e-06 0 0.000936721065029004 0 1.52312368297399e-05 0.000129465513052789 0.000456937104892197 7.61561841486995e-06 0 1.52312368297399e-05 3.04624736594798e-05 7.61561841486995e-06 0 0.00120326770954945 7.61561841486995e-06 0.000281777881350188 0 4.56937104892197e-05 7.61561841486995e-06 3.80780920743498e-05 0 7.61561841486995e-05 0 0 0 0.000182774841956879 6.85405657338296e-05 3.04624736594798e-05 0.000152312368297399 0 0 0 0
"27" "2019_pos536_bongo8r_lrg" 2019-08-25 "01:04" 34.6423333333333 -39.4648333333333 0 100 122973.4 122973.4 894 0.00012197759840746 0.000162636797876614 8.1318398938307e-06 8.1318398938307e-06 0 0 0.00411471098627833 0 0 0.000382196475010043 0.000357800955328551 0 0 2.43955196814921e-05 0 8.1318398938307e-06 0 0.000870106868639885 0 8.1318398938307e-05 0 8.1318398938307e-06 0 0 0 0.000357800955328551 8.1318398938307e-06 0 0 0.000260218876602582 0.00011384575851363 5.69228792568149e-05 0.000268350716496413 3.25273595753228e-05 8.1318398938307e-06 8.1318398938307e-06 8.1318398938307e-06
"28" "2019_pos536_bongo9r_lrg" 2019-08-25 "10:09" 34 -39 0 300 367288 367288 2555 8.16797717322646e-05 6.26211583280695e-05 0 2.45039315196794e-05 0 0 0.00224891638169502 1.90586134041951e-05 2.72265905774215e-06 0.000618043606107469 3.81172268083901e-05 1.08906362309686e-05 5.17305220971009e-05 1.63359543464529e-05 1.08906362309686e-05 3.5394567750648e-05 0 0.000231426019908083 0 6.53438173858117e-05 5.44531811548431e-06 5.44531811548431e-06 5.44531811548431e-06 1.08906362309686e-05 0 0.00156825161725948 0 0 8.16797717322646e-06 0.000228703360850341 0.000111629021367428 1.63359543464529e-05 3.81172268083901e-05 0.00142667334625689 1.08906362309686e-05 0 2.72265905774215e-06
"29" "2020_so279_bongo16a_lrg" 2020-12-22 "05:23" 33.2351666666667 -33.8108166666667 0 220 677176500 677176500 517 2.21507982040133e-08 5.90687952107021e-09 0 5.90687952107021e-09 0 0 3.36692132701002e-07 1.47671988026755e-09 2.9534397605351e-09 1.83113265153176e-07 0 4.43015964080266e-09 0 5.90687952107021e-09 0 2.9534397605351e-09 0 3.98714367672239e-08 0 2.65809578448159e-08 0 0 0 1.18137590421404e-08 0 4.57783162882941e-08 0 0 0 4.43015964080266e-09 1.3290478922408e-08 2.9534397605351e-09 4.43015964080266e-08 2.9534397605351e-09 0 0 0
"30" "2020_so279_bongo17a_lrg" 2020-12-22 "07:02" 33.2880333333333 -33.8242666666667 0 6 755695500 755695500 287 9.2629901858619e-09 6.61642156132993e-09 0 1.98492646839898e-08 0 0 8.8660048921821e-08 0 0 1.11155882230343e-07 0 2.64656862453197e-09 7.93970587359591e-09 7.93970587359591e-09 3.96985293679796e-09 0 0 1.85259803717238e-08 0 1.72026960594578e-08 0 1.32328431226599e-09 0 2.91122548698517e-08 0 9.2629901858619e-09 0 0 0 1.32328431226599e-09 1.72026960594578e-08 1.32328431226599e-09 1.85259803717238e-08 6.61642156132993e-09 1.32328431226599e-09 0 0
"31" "2020_so279_bongo18a_lrg" 2020-12-22 "07:41" 33.3073 -33.8285333333333 0 80 882052500 882052500 430 1.02034742829934e-08 1.02034742829934e-08 0 6.80231618866224e-09 0 0 1.14505655842481e-07 0 3.40115809433112e-09 1.55319552974454e-07 1.13371936477704e-09 1.13371936477704e-09 1.13371936477704e-09 5.32848101445209e-08 4.53487745910816e-09 0 0 2.04069485659867e-08 0 2.7209264754649e-08 0 0 0 9.06975491821632e-09 0 1.24709130125474e-08 0 0 0 4.53487745910816e-09 1.13371936477704e-08 1.13371936477704e-09 3.28778615785342e-08 4.53487745910816e-09 0 2.26743872955408e-09 0
"32" "2020_so279_bongo1a_lrg" 2020-12-17 "04:03" 31.2732666666667 -29.5420166666667 0 5 23845500 23845500 755 8.38732674928184e-07 1.25809901239228e-07 0 3.35493069971273e-07 0 0 1.54326812186786e-05 1.25809901239228e-07 0 3.22912079847351e-06 0 1.67746534985637e-07 4.19366337464092e-08 5.45176238703319e-07 3.35493069971273e-07 4.19366337464092e-08 0 3.06137426348787e-06 0 3.35493069971273e-07 0 0 4.19366337464092e-08 2.05489505357405e-06 0 2.05489505357405e-06 0 0 4.19366337464092e-08 4.19366337464092e-07 1.09035247740664e-06 4.19366337464092e-08 1.17422574489946e-06 8.38732674928184e-08 0 4.19366337464092e-08 0
"33" "2020_so279_bongo22a_lrg" 2020-12-28 "01:50" 35.0695 -20.9118666666667 0 300 5818995000 5818995000 528 1.03110588684128e-09 5.15552943420642e-10 0 1.37480784912171e-09 1.71850981140214e-10 0 4.39938511718948e-08 0 0 1.95910118499844e-08 1.71850981140214e-10 1.71850981140214e-10 1.71850981140214e-10 8.5925490570107e-10 5.15552943420642e-10 6.87403924560856e-10 0 6.70218826446835e-09 0 2.405913735963e-09 0 0 0 1.71850981140214e-10 0 3.43701962280428e-09 0 0 0 1.89036079254235e-09 4.46812550964557e-09 3.43701962280428e-10 1.54665883026193e-09 0 0 5.15552943420642e-10 0
"34" "2020_so279_bongo24a_lrg" 2020-12-28 "04:28" 35.1222833333333 -20.8416666666667 0 10 7084770000 7084770000 623 7.05739212423268e-10 2.82295684969307e-10 0 1.27033058236188e-09 1.41147842484654e-10 0 5.13778146644139e-08 0 1.41147842484654e-10 1.22798622961649e-08 0 4.23443527453961e-10 2.82295684969307e-10 4.23443527453961e-10 5.64591369938615e-10 4.23443527453961e-10 0 6.91624428174803e-09 0 2.39951332223911e-09 0 0 0 5.64591369938615e-10 0 1.41147842484654e-09 0 0 0 2.82295684969307e-10 4.09328743205496e-09 8.46887054907922e-10 2.82295684969307e-09 2.82295684969307e-10 0 0 0
"35" "2020_so279_bongo2a_lrg" 2020-12-17 "04:53" 31.2953 -29.5526166666667 0 82 157216500 157216500 640 1.39934421641494e-07 2.54426221166353e-08 0 2.54426221166353e-08 1.27213110583177e-08 0 1.78734420369363e-06 1.27213110583177e-08 0 7.25114730324107e-07 0 1.90819665874765e-08 3.18032776457942e-08 1.01770488466541e-07 3.18032776457942e-08 0 0 3.37114743045418e-07 0 2.03540976933083e-07 0 6.36065552915884e-09 0 1.90819665874765e-08 0 8.26885218790649e-08 0 0 0 1.71737699287289e-07 1.78098354816447e-07 6.36065552915884e-09 1.27213110583177e-07 2.54426221166353e-08 0 0 0
