"sample_id" "date" "time" "lat" "lon" "depth_min" "depth_max" "sample_volconc" "total_biomass_ug_m3" "Actinopterygii" "Amphipoda" "Anguilliformes" "Annelida" "Appendicularia" "Bryozoa" "Calanoida" "calyptopsis<Euphausiacea" "Cephalopoda" "Chaetognatha" "Cirripedia" "Cnidaria<Metazoa" "Corycaeidae" "Decapoda" "egg<Actinopterygii" "egg<other" "Eucalanidae" "Euphausiacea" "Gastropoda" "gelatinous" "Limacina" "Luciferidae" "Macrosetella" "multiple<other" "Myctophidae" "nauplii<Copepoda" "Oithonidae" "Ostracoda" "part<Crustacea" "Sapphirina" "scale" "Siphonophorae" "Thaliacea" "Thecosomata" "Unknowns" "zoea<Decapoda"
"11" "2019_pos536_bongo20r_lrg" 2019-08-30 "22:30" 34 -37 0 100 75284.64 37850.2395971983 92.8607071124336 151.115303228057 0 28.9469824507685 5.49151241989493 0 1050.27237753383 0 0 161.120433149522 137.544065673844 61.7945661269499 0.378400593035823 4.03713308125391 0 4.97857664296257 0 2311.70265913141 0 62.9227377717904 4.6908237451523 84.7543188403567 0 30071.1096486188 3064.36695948775 0 0 22.8564959615244 82.0102841302092 66.3380781557758 0 353.324881473073 10.9962148921646 0 0 16.6264369777411
"12" "2019_pos536_bongo21l_lrg" 2019-08-30 "23:49" 34 -37 0 300 124467.6375 23138.1986589962 57.9358553089712 38.1252708055658 0 4.36545452386353 0.171444289454511 0 282.248085463326 55.81342061223 0 196.531279039323 62.0860871597016 0 0 15432.4815480499 0 0.549320212468855 0 868.881314710633 0 184.015872937136 3.55889521528435 7.32200940271947 0 5804.71413571768 0 0 0 5.47498389823666 72.2997649608546 9.77379368551472 0 29.7901053763841 21.8366459692364 0.223371657699744 0 0
"13" "2019_pos536_bongo22r_lrg" 2019-09-01 "13:07" 33 -36 0 10 78251.94 270.592762501154 8.31329372251777 0 0 4.35659756150351 0.996009913465064 0 58.8243513186194 0 0 51.5583639173016 5.25850736243395 0.65691884613759 0.197836835341959 0.252005388059555 0 0 0 42.1935813876267 0 2.35549204893637 0 53.8779657117306 0 0 0 0 0.266269743034533 1.32854582811345 1.55010230426781 1.35565183100572 0 37.2512687810581 0 0 0 0
"14" "2019_pos536_bongo23r_lrg" 2019-09-01 "14:10" 33 -37 0 100 108454.815 12949.1758428884 79.652614318428 59.4926867524459 9317.88747642883 21.9430111168257 5.63432831848567 0 186.543462429384 0 34.9678868823567 347.430284503094 829.587106941973 0.691974582644104 2.82629838765956 60.9115356722789 4.65858998212036 2.25790279871575 0 202.990917866093 0 107.459638218427 1.08705036748257 22.7661120739374 0 1131.26136589627 0 0 0.405558384057742 11.500974891219 48.5052542062619 280.442794350716 0 145.270288147459 17.8550377249015 0 0 25.1456916463144
"15" "2019_pos536_bongo24l_lrg" 2019-09-01 "15:26" 33 -37 0 300 273683.086875 1062.44791862665 10.8538815676724 26.3294226752875 0 6.36654894704661 2.58131114403017 0 136.55870095895 0 0 169.527043140217 32.623574201185 0 0.108908277974064 81.1852519773779 0 0 0 217.524317202886 0 50.4221976629412 0 40.6014691620976 0 105.542831905035 0 0 0 1.89266652392962 11.4223907478736 39.1066224085491 0 46.5224697419644 71.7830159953999 0 8.94279645478354 2.5524979314528
"16" "2019_pos536_bongo25r_lrg" 2019-09-02 "09:40" 34 -37 0 10 60363.36 904.073921181277 53.0874762545059 34.3057702604349 0 6.17007317055981 20.2287525899296 0 150.769107758665 0 0 94.460681310239 16.7615668187583 0.373644829817422 0 78.2847995495828 4.29679060695302 0 0 59.9449886574041 0 10.9243511527465 0 274.288110037945 0 15.5467457006946 0 0 0 7.71028511523391 11.4913921083515 4.78693632031827 0 60.6424489391378 0 0 0 0
"17" "2019_pos536_bongo26l_lrg" 2019-09-02 "10:35" 34 -37 0 100 70028.28 3728.29891646605 126.457573617687 49.7516536757692 0 13.4358542177548 1.04629185112512 0 126.711176345161 0 2.95917675889447 129.420123166942 54.5048490501899 12.0763559243638 2.88541757872735 10.1095806436358 0 0 0 130.653594933373 0 18.9658760922595 0 101.61268424017 0 2707.55457092356 0 0 0 0 10.9743573537885 1.34521777535108 0 171.815035140248 55.0645874765524 0.95493970048775 0 0
"18" "2019_pos536_bongo27l_lrg" 2019-09-02 "11:49" 34 -37 0 300 273683.086875 3308.54265093707 411.221099330172 46.0830531056674 0 64.9647748769185 0.632228765780345 0 84.1106637204234 0 0 155.494193561332 5.28033295354466 0.430156454847317 0.13106244173905 0 0 0.291433402899631 0 122.524975139683 0 34.0457286322532 0 15.0655274009554 0 2228.58489517722 0 0 0 4.47992173989106 1.28325037397871 93.6001782658328 0 30.5945993362644 7.76555600448002 1.95902025318784 0 0
"19" "2019_pos536_bongo28l_lrg" 2019-09-04 "08:02" 33 -33 0 10 65566.7325 35720.4151895437 130.720793860254 20.2529948156655 0 93.7409147015979 0.602757542196006 0 166.101728517024 0 0 38.8422847768426 5.47652390341796 41.5997504780686 0 5.77612078766673 8.1206724944434 1.4806426887135 0 66.0302807968285 0 20.8613744235241 0 135.124360690162 0 34618.222626414 0 0 0 0 84.3673570361099 3.53202495058046 0 259.945667006498 8.42416484825456 3.62137199818029 0 7.57077681375966
"20" "2019_pos536_bongo29l_lrg" 2019-09-04 "08:59" 33 -33 0 100 91678.9725 6950.60547990408 79.2203618695864 186.429868420226 5546.70366487869 0 1.75479503121 0 151.604671061884 0 0 121.444596409409 103.454420834365 8.01167373918439 0 0 0 0 0 195.801359796363 0 51.6587382638375 7.66382512660135 14.6306729772299 0 145.445997087426 0 0 0 7.96966166018164 20.0832489641138 26.2714454386321 0 278.724987853998 0 3.19921515913435 0 0.53227533201419
